 Fundação Universitária de Desenvolvimento de Extensão e Pesquisa,Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Maceió,AL,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,Rua Senador Mendonça 148 6º andar-Ed. Walmap Centro Maceió AL 57.020-030,-9.6252593,-35.7471601
Associação Cultural Comunitária Carnavalesta Arca do Axé. Desde 1996.,Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Salvador,BA,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"Praça do Tamarineiro, S/N. Vila de Matarandiba. Vera Cruz - BA. CEP: 44.470-000",-13.0071976,-38.7673464
Ascomat - Associação  Sociocultural de Matarandiba,Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Vera Cruz,BA,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"End: Rua do Imperador, nº 1 - Centro - Santo Amaro/BA
CEP: 44.200-000",-12.5537835,-38.7038416
Associação de Sambadores e Sambadeiras do Estado da Bahia,Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Santo Amaro,BA,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"Rua marechal castelo branco 204, Olivença - Ilheus - BA -
CEP: 45 668 000",-14.9452056,-39.0124885
Thydewas,Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Salvador,BA,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"
Rua Torquato Bahia, 4. Sala 316. Comércio - Salvador - BA CEP: 40015-110

",-12.9696836,-38.5102336
Instituto Tribos Jovens,Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Porto Seguro ,BA,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"Rua Saldanha Marinho, Shopping do Cais, sl 13 e 14, Centro, Porto Seguro-Bahia. CEP 45.810-000",-16.4540688,-39.0643573
" Fundação Brasil Cidadão para a Educação, Cultura, Tecnologia e Meio Ambiente ",Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Icapuí,CE,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"Rua Osvaldo Cruz, 01 - Sala 1508 - Meireles - Fortaleza/CE 60125-150",-3.7262098,-38.4972251
"Associação dos Proprietários, Artistas e Escolas de Circo do Ceará",Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Fortaleza,CE,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422," Rua Um, nº 360.
Bairro: Maraponga
CEP: 60.712-050",-3.8034897,-38.564199
" Instituto Beija-Flor de Cultura, Arte, Educação Ambiental e Cidadania.",Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Cascavel,CE,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"Rua Irene Viana, 25
Modulo Esportivo-Cascavel-Ceará
CEP 62850-000",-4.1311344,-38.2454951
 AMIJK  ,Patrimônio Imaterial; Outros,Prêmio Pontos de Memória de 2011 do Instituto Brasileiro de Museus (Ibram),Aquiraz ,CE,Programa Pontos de Memória,pontosdememoria@museus.gov.br,(61)3521-4418 (61)3521-4419 (61)3521-4422,"Comunidade Lagoa Encantada, s/n.
CEP: 61700-000
Distrito: Iguape
Aquiraz, Ceará",-3.95826901,-38.33469325
